Per-Arne Abelin,SVERIGE,Pe Abe,Nei,SVERIGE,Proff trener A; trene og kjøre
Matthieu Abrivard,FRANKRIKE,Abr Ma,Nei,Ukjent bane,Proff trener A; trene og kjøre
Laurent Claude Abrivard,FRANKRIKE,Abr LC,Nei,Ukjent bane,Proff trener A; trene og kjøre
Loic Desire Abrivard,FRANKRIKE,Abr LD,Nei,Ukjent bane,Proff trener A; trene og kjøre
Alexandre Abrivard,FRANKRIKE,Abr Al,Ja,Ukjent bane,Amatør; trene og kjøre
Leo Abrivard,FRANKRIKE,Abr Le,Nei,Ukjent bane,Proff trener A; trene og kjøre
Hans Adielsson,SVERIGE,Ha Adi,Nei,Ukjent bane,Proff trener A; trene og kjøre
Erik Adielsson,SVERIGE,Er Adi,Nei,SVERIGE,Proff trener A; trene og kjøre
Hans Adler,SVERIGE,Ha Adl,Nei,SVERIGE,Proff trener A; trene og kjøre
Karl Adolfsson,SVERIGE,Ka Ado,Ja,Ukjent bane,Amatør; trene og kjøre
Sofia Adolfsson,SVERIGE,Ado So,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Svend K. Adriansen,DANMARK,Adr SK,Ja,Ukjent bane,Amatør; trene og kjøre
Stine Aftret,NORGE,St Aft,Ja,Leangen Travbane,Amatør; trene og kjøre
Geir Aga,NORGE,Aga Ge,Ja,Drammen Travbane,Prøvekjører; kjøre
Sara Agnas,SVERIGE,Agn Sa,Ja,Ukjent bane,Amatør; trene og kjøre
Sara Agnas,SVERIGE,Agn Sa,Ja,Ukjent bane,Amatør; trene og kjøre
Sara Agnas,SVERIGE,Agn Sa,Ja,Ukjent bane,Amatør; trene og kjøre
Eva Agnas,SVERIGE,Ev Agn,Nei,SVERIGE,Stallansatt; trene og kjøre
Eva Agnas,SVERIGE,Ev Agn,Nei,Bjerke Travbane,Stallansatt; trene og kjøre
Isabelle Agnemyr,SVERIGE,Agn Is,Nei,Ukjent bane,Stallansatt; trene og kjøre
Cecilia Ahlborg,SVERIGE,Ahl Ce,Nei,Ukjent bane,Proff trener A; trene og kjøre
Cecilia Ahlborg,SVERIGE,Ahl Ce,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Iina Aho,FINLAND,Aho Ii,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Jasmiina Aho,FINLAND,Aho Ja,Ja,Ukjent bane,Amatør; trene og kjøre
Hanne Aho,FINLAND,Aho Ha,Ja,Ukjent bane,Amatør; trene og kjøre
Mikko Aho,SVERIGE,Mi Aho,Nei,SVERIGE,Stallansatt; trene og kjøre
Johanna Ahola,FINLAND,Aho Jo,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Taru Ahola,FINLAND,Aho Ta,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Juha-Pekka Ahonen,FINLAND,Aho JP,Ja,Ukjent bane,Amatør; trene og kjøre
Panu Ahonen,FINLAND,Aho Pa,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Timo Ahtiainen,FINLAND,Aht Ti,Ja,Ukjent bane,Amatør; trene og kjøre
