 Biri-Travbane;Fredag, 28. jan 2022
 Biri-Travbane; Torsdag, 13. jan 2022
 Biri-Travbane;Fredag, 17. des 2021
 Biri-Travbane;Søndag, 12. des 2021
 Biri-Travbane;Fredag, 3. des 2021
 Biri-Travbane; Søndag, 21. nov 2021
 Biri-Travbane;Fredag, 12. nov 2021
 Biri-Travbane;Fredag, 5. nov 2021
 Biri-Travbane;Fredag, 29. okt 2021
 Biri-Travbane; Fredag, 22. okt 2021
 Biri-Travbane;Søndag, 17. okt 2021
 Biri-Travbane;Lørdag, 9. okt 2021
 Biri-Travbane;Fredag, 1. okt 2021
 Biri-Travbane; Søndag, 26. sept 2021
 Biri-Travbane;Fredag, 17. sept 2021
 Biri-Travbane;Fredag, 20. aug 2021
 Biri-Travbane;Fredag, 13. aug 2021
 Biri-Travbane; Lørdag, 31. jul 2021
 Biri-Travbane;Fredag, 30. jul 2021
 Biri-Travbane;Mandag, 19. jul 2021
 Biri-Travbane;Fredag, 16. jul 2021
 Biri-Travbane; Onsdag, 7. jul 2021
 Biri-Travbane;Fredag, 2. jul 2021
 Biri-Travbane;Mandag, 21. jun 2021
 Biri-Travbane;Tirsdag, 15. jun 2021
 Biri-Travbane; Fredag, 4. jun 2021
 Biri-Travbane;Fredag, 28. mai 2021
 Biri-Travbane;Lørdag, 22. mai 2021
 Biri-Travbane;Fredag, 7. mai 2021
 Biri-Travbane; Lørdag, 1. mai 2021
 Biri-Travbane;Tirsdag, 27. apr 2021
 Biri-Travbane;Mandag, 26. apr 2021
 Biri-Travbane;Fredag, 23. apr 2021
 Biri-Travbane; Mandag, 19. apr 2021
 Biri-Travbane;Fredag, 16. apr 2021
 Biri-Travbane;Tirsdag, 13. apr 2021
 Biri-Travbane;Mandag, 12. apr 2021
 Biri-Travbane; Fredag, 9. apr 2021
 Biri-Travbane;Mandag, 5. apr 2021
 Biri-Travbane;Torsdag, 1. apr 2021
 Biri-Travbane;Onsdag, 31. mar 2021
 Biri-Travbane; Lørdag, 27. mar 2021
 Biri-Travbane;Lørdag, 20. mar 2021
 Biri-Travbane;Tirsdag, 16. mar 2021
 Biri-Travbane;Lørdag, 13. mar 2021
 Biri-Travbane; Tirsdag, 9. mar 2021
 Biri-Travbane;Fredag, 12. feb 2021
 Biri-Travbane;Onsdag, 3. feb 2021
 Biri-Travbane;Tirsdag, 2. feb 2021
 Biri-Travbane; Fredag, 18. des 2020
 Biri-Travbane;Lørdag, 12. des 2020
 Biri-Travbane;Fredag, 4. des 2020
 Biri-Travbane;Fredag, 27. nov 2020
 Biri-Travbane; Fredag, 20. nov 2020
 Biri-Travbane;Søndag, 15. nov 2020
 Biri-Travbane;Søndag, 8. nov 2020
 Biri-Travbane;Fredag, 30. okt 2020
 Biri-Travbane; Fredag, 23. okt 2020
 Biri-Travbane;Fredag, 16. okt 2020
 Biri-Travbane;Lørdag, 10. okt 2020
 Biri-Travbane;Fredag, 2. okt 2020
 Biri-Travbane; Søndag, 27. sept 2020
 Biri-Travbane;Fredag, 18. sept 2020
 Biri-Travbane;Fredag, 4. sept 2020
 Biri-Travbane;Fredag, 21. aug 2020
 Biri-Travbane; Søndag, 9. aug 2020
 Biri-Travbane;Lørdag, 25. jul 2020
 Biri-Travbane;Fredag, 24. jul 2020
 Biri-Travbane;Søndag, 19. jul 2020
 Biri-Travbane; Fredag, 10. jul 2020
 Biri-Travbane;Søndag, 28. jun 2020
 Biri-Travbane;Onsdag, 24. jun 2020
 Biri-Travbane;Fredag, 12. jun 2020
 Biri-Travbane; Søndag, 7. jun 2020
 Biri-Travbane;Søndag, 31. mai 2020
 Biri-Travbane;Fredag, 15. mai 2020
 Biri-Travbane;Fredag, 8. mai 2020
 Biri-Travbane; Lørdag, 2. mai 2020
 Biri-Travbane;Fredag, 24. apr 2020
 Biri-Travbane;Mandag, 20. apr 2020
 Biri-Travbane;Fredag, 13. mar 2020
 Biri-Travbane; Fredag, 28. feb 2020
 Biri-Travbane;Fredag, 31. jan 2020
 Biri-Travbane;Fredag, 10. jan 2020
 Biri-Travbane;Fredag, 20. des 2019
 Biri-Travbane; Fredag, 13. des 2019
 Biri-Travbane;Fredag, 29. nov 2019
