Lop;Startnr;StartMetode;Distanse;Heste_navn;Bane;Dato;Id_nr;FormfaktorTotal
4;9;Volestart;2160;Jojo Dox;Momarken Travbane ;2020-03-10;118823;98
7;3;Volestart;2160;Eva Maria;  Leangen Travbane ;2020-01-13;121132;0
4;1;Volestart;2140;Eva Maria;  Leangen Travbane ;2020-02-24;121132;0
7;4;Volestart;2160;Eva Maria;  Leangen Travbane ;2020-03-02;121132;90
5;8;Autostart;1640;Flash Gordon Sisu;Momarken Travbane ;2020-01-26;129143;-118
1;1;Volestart;2100;Cannon Flame;Bergen Travpark ;2020-05-07;131337;90
1;4;Volestart;2160;Raymon;  Leangen Travbane ;2020-01-06;131732;47
3;7;Volestart;2160;Raymon;  Leangen Travbane ;2020-01-25;131732;125
2;3;Volestart;2180;Raymon;  Leangen Travbane ;2020-02-10;131732;138
1;10;Volestart;1660;Raymon;  Leangen Travbane ;2020-02-17;131732;139
4;7;Volestart;2160;Raymon;  Leangen Travbane ;2020-03-09;131732;26
5;3;Autostart;2140;Raymon;  Leangen Travbane ;2020-04-26;131732;NULL
4;9;Volestart;2180;Buaas Terna;  Leangen Travbane ;2020-01-06;132986;-1284
5;4;Autostart;1640;Buaas Terna;  Leangen Travbane ;2020-01-13;132986;-1291
6;11;Volestart;2180;Buaas Terna;  Leangen Travbane ;2020-02-24;132986;-1398
5;8;Autostart;1609;Finnskog Sjefen;  Bjerke Travbane ;2020-01-18;133220;432
5;8;Autostart;1609;Finnskog Sjefen;  Bjerke Travbane ;2020-01-18;133220;432
1;2;Autostart;1640;Finnskog Sjefen;  Momarken Travbane ;2020-01-26;133220;536
5;2;Autostart;1609;Finnskog Sjefen;  Biri Travbane ;2020-02-16;133220;426
2;5;Autostart;2100;Finnskog Sjefen;  Jarlsberg Travbane ;2020-02-29;133220;555
1;1;Autostart;1609;Finnskog Sjefen;  Bjerke Travbane ;2020-03-11;133220;558
4;10;Volestart;2160;Be My Love;  Sørlandets Travpark ;2020-01-19;134197;154
8;3;Volestart;2160;Be My Love;  Sørlandets Travpark ;2020-03-01;134197;227
1;7;Volestart;2160;Be My Love;  Sørlandets Travpark ;2020-04-25;134197;110
2;6;Volestart;2100;Magnat;  Biri Travbane ;2020-04-24;30004448;-10
2;4;Volestart;2100;Magnat;  Biri Travbane ;2020-05-08;30004448;130
4;9;Autostart;1609;Chip Line;  Bjerke Travbane ;2020-03-05;30007433;329
3;9;Volestart;1700;Tangen Tinn;  Leangen Travbane ;2020-03-02;30008405;257
6;5;Volestart;2160;Tangen Tinn;  Leangen Travbane ;2020-05-04;30008405;248
3;2;Autostart;1609;Flyveren;  Sørlandets Travpark ;2020-01-19;30014915;116
7;11;Autostart;2100;Pink Diamond;  Bjerke Travbane ;2020-02-22;30016256;140
2;7;Autostart;1609;Skauge Faks;  Bjerke Travbane ;2020-02-22;30016886;-218
5;6;Autostart;2100;Eldjerva;  Bergen Travpark ;2020-02-13;30017522;205
5;6;Autostart;2100;Eldjerva;  Bergen Travpark ;2020-02-13;30017522;205
5;2;Volestart;2120;Eldjerva;  Bergen Travpark ;2020-02-23;30017522;207
4;10;Volestart;2100;Eldjerva;  Bergen Travpark ;2020-04-27;30017522;102
5;6;Autostart;1640;Viborg Prinsen;  Leangen Travbane ;2020-01-13;30018146;75
8;1;Autostart;1640;Viborg Prinsen;  Leangen Travbane ;2020-02-10;30018146;86
1;5;Autostart;2100;Fantomet;  Jarlsberg Travbane ;2020-01-11;30018368;120
3;8;Volestart;2060;Fantomet;  Forus Travbane ;2020-02-08;30018368;160
4;9;Volestart;2680;Fantomet;  Bjerke Travbane ;2020-02-22;30018368;130
7;10;Autostart;2100;Fantomet;  Bjerke Travbane ;2020-03-11;30018368;120
3;6;Volestart;2600;Fantomet;  Biri Travbane ;2020-05-02;30018368;20
3;9;Volestart;2120;Anima;  Jarlsberg Travbane ;2020-01-11;30019099;20
3;4;Volestart;2160;Anima;  Bjerke Travbane ;2020-01-18;30019099;119
3;4;Volestart;2160;Anima;  Bjerke Travbane ;2020-01-18;30019099;119
5;2;Autostart;2100;Anima;  Bjerke Travbane ;2020-01-29;30019099;120
2;6;Autostart;2100;Anima;  Bjerke Travbane ;2020-02-09;30019099;110
