 Jarlsberg-travbane;Søndag, 23. mai 2021
 Jarlsberg-travbane; Lørdag, 15. mai 2021
 Jarlsberg-travbane;Torsdag, 13. mai 2021
 Jarlsberg-travbane;Mandag, 10. mai 2021
 Jarlsberg-travbane;Tirsdag, 4. mai 2021
 Jarlsberg-travbane; Mandag, 3. mai 2021
 Jarlsberg-travbane;Fredag, 30. apr 2021
 Jarlsberg-travbane;Onsdag, 28. apr 2021
 Jarlsberg-travbane;Søndag, 24. jan 2021
 Jarlsberg-travbane; Søndag, 17. jan 2021
 Jarlsberg-travbane;Onsdag, 13. jan 2021
 Jarlsberg-travbane;Lørdag, 9. jan 2021
 Jarlsberg-travbane;Fredag, 1. jan 2021
 Jarlsberg-travbane; Fredag, 11. des 2020
 Jarlsberg-travbane;Torsdag, 3. des 2020
 Jarlsberg-travbane;Søndag, 29. nov 2020
 Jarlsberg-travbane;Fredag, 13. nov 2020
 Jarlsberg-travbane; Fredag, 6. nov 2020
 Jarlsberg-travbane;Lørdag, 31. okt 2020
 Jarlsberg-travbane;Søndag, 25. okt 2020
 Jarlsberg-travbane;Fredag, 9. okt 2020
 Jarlsberg-travbane; Fredag, 25. sept 2020
 Jarlsberg-travbane;Torsdag, 10. sept 2020
 Jarlsberg-travbane;Mandag, 31. aug 2020
 Jarlsberg-travbane;Tirsdag, 25. aug 2020
 Jarlsberg-travbane; Fredag, 14. aug 2020
 Jarlsberg-travbane;Fredag, 31. jul 2020
 Jarlsberg-travbane;Søndag, 5. jul 2020
 Jarlsberg-travbane;Lørdag, 4. jul 2020
 Jarlsberg-travbane; Fredag, 3. jul 2020
 Jarlsberg-travbane;Mandag, 29. jun 2020
 Jarlsberg-travbane;Mandag, 22. jun 2020
 Jarlsberg-travbane;Onsdag, 17. jun 2020
 Jarlsberg-travbane; Mandag, 15. jun 2020
 Jarlsberg-travbane;Mandag, 8. jun 2020
 Jarlsberg-travbane;Mandag, 1. jun 2020
 Jarlsberg-travbane;Fredag, 29. mai 2020
 Jarlsberg-travbane; Fredag, 22. mai 2020
 Jarlsberg-travbane;Lørdag, 16. mai 2020
 Jarlsberg-travbane;Søndag, 10. mai 2020
 Jarlsberg-travbane;Onsdag, 29. apr 2020
 Jarlsberg-travbane; Søndag, 26. apr 2020
 Jarlsberg-travbane;Tirsdag, 21. apr 2020
 Jarlsberg-travbane;Mandag, 20. apr 2020
 Jarlsberg-travbane;Søndag, 19. apr 2020
 Jarlsberg-travbane; Torsdag, 16. apr 2020
 Jarlsberg-travbane;Torsdag, 12. mar 2020
 Jarlsberg-travbane;Fredag, 6. mar 2020
 Jarlsberg-travbane;Lørdag, 29. feb 2020
 Jarlsberg-travbane; Fredag, 21. feb 2020
 Jarlsberg-travbane;Fredag, 14. feb 2020
 Jarlsberg-travbane;Fredag, 7. feb 2020
 Jarlsberg-travbane;Torsdag, 30. jan 2020
 Jarlsberg-travbane; Fredag, 24. jan 2020
 Jarlsberg-travbane;Torsdag, 16. jan 2020
 Jarlsberg-travbane;Lørdag, 11. jan 2020
 Jarlsberg-travbane;Fredag, 3. jan 2020
 Jarlsberg-travbane; Søndag, 29. des 2019
 Jarlsberg-travbane;Søndag, 22. des 2019
 Jarlsberg-travbane;Fredag, 6. des 2019
 Jarlsberg-travbane;Søndag, 24. nov 2019
 Jarlsberg-travbane; Lørdag, 9. nov 2019
 Jarlsberg-travbane;Fredag, 1. nov 2019
 Jarlsberg-travbane;Fredag, 25. okt 2019
 Jarlsberg-travbane;Torsdag, 17. okt 2019
 Jarlsberg-travbane; Fredag, 11. okt 2019
 Jarlsberg-travbane;Fredag, 27. sept 2019
 Jarlsberg-travbane;Fredag, 20. sept 2019
 Jarlsberg-travbane;Fredag, 13. sept 2019
 Jarlsberg-travbane; Fredag, 23. aug 2019
 Jarlsberg-travbane;Mandag, 12. aug 2019
 Jarlsberg-travbane;Søndag, 4. aug 2019
 Jarlsberg-travbane;Fredag, 2. aug 2019
 Jarlsberg-travbane; Søndag, 7. jul 2019
 Jarlsberg-travbane;Lørdag, 6. jul 2019
 Jarlsberg-travbane;Fredag, 5. jul 2019
 Jarlsberg-travbane;Torsdag, 4. jul 2019
 Jarlsberg-travbane; Mandag, 1. jul 2019
 Jarlsberg-travbane;Mandag, 24. jun 2019
 Jarlsberg-travbane;Mandag, 17. jun 2019
 Jarlsberg-travbane;Onsdag, 12. jun 2019
 Jarlsberg-travbane; Søndag, 2. jun 2019
 Jarlsberg-travbane;Fredag, 31. mai 2019
 Jarlsberg-travbane;Lørdag, 18. mai 2019
 Jarlsberg-travbane;Mandag, 13. mai 2019
 Jarlsberg-travbane; Søndag, 5. mai 2019
 Jarlsberg-travbane;Søndag, 28. apr 2019
 Jarlsberg-travbane;Mandag, 15. apr 2019
 Jarlsberg-travbane;Mandag, 8. apr 2019
 Jarlsberg-travbane; Fredag, 5. apr 2019
 Jarlsberg-travbane;Fredag, 29. mar 2019
 Jarlsberg-travbane;Fredag, 15. mar 2019
 Jarlsberg-travbane;Søndag, 10. mar 2019
 Jarlsberg-travbane; Fredag, 1. mar 2019
 Jarlsberg-travbane;Lørdag, 16. feb 2019
 Jarlsberg-travbane;Fredag, 1. feb 2019
 Jarlsberg-travbane;Fredag, 18. jan 2019
 Jarlsberg-travbane; Lørdag, 12. jan 2019
 Jarlsberg-travbane;Fredag, 4. jan 2019
 Jarlsberg-travbane;Fredag, 28. des 2018
 Jarlsberg-travbane;Søndag, 23. des 2018
 Jarlsberg-travbane; Torsdag, 20. des 2018
 Jarlsberg-travbane;Fredag, 7. des 2018
 Jarlsberg-travbane;Søndag, 25. nov 2018
 Jarlsberg-travbane;Torsdag, 15. nov 2018
 Jarlsberg-travbane; Lørdag, 10. nov 2018
 Jarlsberg-travbane;Fredag, 2. nov 2018
 Jarlsberg-travbane;Fredag, 26. okt 2018
 Jarlsberg-travbane;Fredag, 12. okt 2018
 Jarlsberg-travbane; Fredag, 28. sept 2018
 Jarlsberg-travbane;Fredag, 21. sept 2018
 Jarlsberg-travbane;Fredag, 14. sept 2018
 Jarlsberg-travbane;Mandag, 10. sept 2018
 Jarlsberg-travbane; Søndag, 2. sept 2018
 Jarlsberg-travbane;Mandag, 27. aug 2018
 Jarlsberg-travbane;Mandag, 13. aug 2018
 Jarlsberg-travbane;Søndag, 5. aug 2018
 Jarlsberg-travbane; Fredag, 3. aug 2018
 Jarlsberg-travbane;Mandag, 9. jul 2018
 Jarlsberg-travbane;Søndag, 8. jul 2018
 Jarlsberg-travbane;Lørdag, 7. jul 2018
 Jarlsberg-travbane; Fredag, 6. jul 2018
 Jarlsberg-travbane;Torsdag, 5. jul 2018
 Jarlsberg-travbane;Mandag, 25. jun 2018
 Jarlsberg-travbane;Mandag, 18. jun 2018
 Jarlsberg-travbane; Onsdag, 13. jun 2018
 Jarlsberg-travbane;Mandag, 11. jun 2018
 Jarlsberg-travbane;Fredag, 1. jun 2018
 Jarlsberg-travbane;Torsdag, 24. mai 2018
 Jarlsberg-travbane; Lørdag, 19. mai 2018
 Jarlsberg-travbane;Fredag, 4. mai 2018
 Jarlsberg-travbane;Fredag, 27. apr 2018
 Jarlsberg-travbane;Søndag, 22. apr 2018
 Jarlsberg-travbane; Fredag, 13. apr 2018
 Jarlsberg-travbane;Onsdag, 28. mar 2018
 Jarlsberg-travbane;Søndag, 25. mar 2018
 Jarlsberg-travbane;Fredag, 16. mar 2018
 Jarlsberg-travbane; Fredag, 2. mar 2018
 Jarlsberg-travbane;Lørdag, 17. feb 2018
 Jarlsberg-travbane;Fredag, 2. feb 2018
 Jarlsberg-travbane;Fredag, 19. jan 2018
 Jarlsberg-travbane; Lørdag, 13. jan 2018
 Jarlsberg-travbane;Fredag, 5. jan 2018
 Jarlsberg-travbane;Onsdag, 27. des 2017
 Jarlsberg-travbane;Søndag, 10. des 2017
 Jarlsberg-travbane; Fredag, 1. des 2017
 Jarlsberg-travbane;Lørdag, 25. nov 2017
 Jarlsberg-travbane;Fredag, 17. nov 2017
 Jarlsberg-travbane;Fredag, 3. nov 2017
 Jarlsberg-travbane; Fredag, 27. okt 2017
 Jarlsberg-travbane;Søndag, 15. okt 2017
 Jarlsberg-travbane;Lørdag, 30. sept 2017
 Jarlsberg-travbane;Fredag, 22. sept 2017
 Jarlsberg-travbane; Tirsdag, 12. sept 2017
 Jarlsberg-travbane;Søndag, 27. aug 2017
 Jarlsberg-travbane;Fredag, 18. aug 2017
 Jarlsberg-travbane;Fredag, 4. aug 2017
 Jarlsberg-travbane; Torsdag, 13. jul 2017
 Jarlsberg-travbane;Søndag, 9. jul 2017
 Jarlsberg-travbane;Lørdag, 8. jul 2017
 Jarlsberg-travbane;Fredag, 7. jul 2017
 Jarlsberg-travbane; Torsdag, 6. jul 2017
 Jarlsberg-travbane;Mandag, 26. jun 2017
 Jarlsberg-travbane;Mandag, 19. jun 2017
 Jarlsberg-travbane;Fredag, 16. jun 2017
 Jarlsberg-travbane; Mandag, 12. jun 2017
 Jarlsberg-travbane;Fredag, 9. jun 2017
 Jarlsberg-travbane;Fredag, 26. mai 2017
 Jarlsberg-travbane;Lørdag, 20. mai 2017
 Jarlsberg-travbane; Fredag, 12. mai 2017
 Jarlsberg-travbane;Fredag, 5. mai 2017
 Jarlsberg-travbane;Fredag, 28. apr 2017
 Jarlsberg-travbane;Torsdag, 20. apr 2017
 Jarlsberg-travbane; Torsdag, 6. apr 2017
 Jarlsberg-travbane;Fredag, 31. mar 2017
