Lop;Distanse;Startnr;Kusk;StartMetode;Inntjent;Heste_navn;TidVolte;TidAuto;Bane;Dato;Navn;Id_nr;Reg_Nr;Antstarter;vinnerprosent;Trippelprosent;Galoppprosent;PlasseringSisteStart;sistestart;Trippelform;vinnerform;galoppRisiko;Dagendato;Datosistestart;Antdagersistestart;Formplassering;FormHest;Formfaktordager;FormfaktorTotal;Poemngstartnr
4;2100;1;Ole-Christian Kjenner;Autostart;19.000;Not Good Enough;1.20,0v;1.17,5a;  Drammen Travbane ;2018-09-06;Not Good Enough;30093387;578001020145223;10;0.00;33.00;10.00;0;2018-07-07;33.0000000000000;0.0000000000000;10.0000000000000;2018-09-06 12:24:33.120;2018-07-07;61;0;23.0000000000000;0;33.0000000000000;10
4;2100;2;Eirik Høitomt;Autostart;16.952;Coktail Mack;1.18,9v;1.19,7a;  Drammen Travbane ;2018-09-06;Coktail Mack;30098443;578001020155179;2;0.00;0.00;50.00;Disk. galopp;2018-08-28;0.0000000000000;0.0000000000000;10.0000000000000;2018-09-06 12:24:33.120;2018-08-28;9;0;-10.0000000000000;100;100.0000000000000;10
4;2100;3;Eivind Gravdal;Autostart;15.000;Scipio;1.18,9v;1.17,5a;  Drammen Travbane ;2018-09-06;Scipio;30094602;578001020145465;12;0.00;0.00;17.00;0;2018-08-31;0.0000000000000;0.0000000000000;20.4000000000000;2018-09-06 12:24:33.120;2018-08-31;6;0;-20.4000000000000;100;89.6000000000000;10
4;2100;4;Hans Chr. Holm;Autostart;19.000;Mr. Fantasy;1.18,6v;1.17,8a;  Drammen Travbane ;2018-09-06;Mr. Fantasy;30083894;578001020125381;11;0.00;0.00;45.00;4;2018-08-23;0.0000000000000;0.0000000000000;49.5000000000000;2018-09-06 12:24:33.120;2018-08-23;14;0;-49.5000000000000;100;50.5000000000000;0
4;2100;5;Lars Fredrik Kolle;Autostart;19.000;Vici Celavie;1.18,2v;1.16,7a;  Drammen Travbane ;2018-09-06;Vici Celavie;30088485;578001020135226;9;12.00;25.00;44.00;1;2018-08-23;22.5000000000000;10.8000000000000;39.6000000000000;2018-09-06 12:24:33.120;2018-08-23;14;10;-6.3000000000000;100;103.7000000000000;0
4;2100;6;Åsbjørn Tengsareid;Autostart;31.609;Divine The Best;1.16,8v;1.17,3a;Drammen Travbane ;2018-09-06;Divine The Best* (FR);30117473;FR-13371596F;5;0.00;20.00;40.00;Disk. galopp;2018-08-31;10.0000000000000;0.0000000000000;20.0000000000000;2018-09-06 12:24:33.120;2018-08-31;6;0;-10.0000000000000;100;90.0000000000000;0
4;2100;7;Lars Anvar Kolle;Autostart;27.500;Queen M.;1.21,7v;1.17,9a;  Drammen Travbane ;2018-09-06;Queen M.;30088002;578001020135104;14;0.00;20.00;29.00;8;2018-08-16;28.0000000000000;0.0000000000000;40.6000000000000;2018-09-06 12:24:33.120;2018-08-16;21;0;-12.6000000000000;0;-12.6000000000000;0
4;2100;8;Ole Johan Østre;Autostart;31.000;Mollys Power;1.20,7v;1.17,9a;  Drammen Travbane ;2018-09-06;Mollys Power;30071517;578001020105682;23;0.00;19.00;17.00;2;2018-08-12;43.7000000000000;0.0000000000000;39.1000000000000;2018-09-06 12:24:33.120;2018-08-12;25;10;4.6000000000000;0;14.6000000000000;0
4;2100;9;Øyvind Ruttenborg;Autostart;22.000;Loutanic;1.18,8v;1.17,9a;  Drammen Travbane ;2018-09-06;Loutanic;30100829;578001020145599;8;0.00;50.00;38.00;3;2018-08-23;40.0000000000000;0.0000000000000;30.4000000000000;2018-09-06 12:24:33.120;2018-08-23;14;10;9.6000000000000;100;119.6000000000000;0
4;2100;10;Eini S. Linn;Autostart;30.000;Welcome;1.18,6v;1.18,1a;  Drammen Travbane ;2018-09-06;Welcome;30093219;578001020145176;14;10.00;30.00;14.00;4;2018-08-16;42.0000000000000;14.0000000000000;19.6000000000000;2018-09-06 12:24:33.120;2018-08-16;21;0;36.4000000000000;0;36.4000000000000;0
4;2100;11;Gunnar Austevoll;Autostart;30.000;S.K.'s El Capitano;1.19,2v;1.16,8a;  Drammen Travbane ;2018-09-06;S.K.'s El Capitano;30093761;578001020145317;14;0.00;30.00;29.00;0;2018-07-12;42.0000000000000;0.0000000000000;40.6000000000000;2018-09-06 12:24:33.120;2018-07-12;56;0;1.4000000000000;0;1.4000000000000;0
4;2100;12;Bjørn Steinseth;Autostart;32.000;Rosalie;1.19,6v;1.18,0a;  Drammen Travbane ;2018-09-06;Rosalie;30089058;578001020135370;20;6.00;12.00;30.00;0;2018-08-31;24.0000000000000;12.0000000000000;60.0000000000000;2018-09-06 12:24:33.120;2018-08-31;6;0;-24.0000000000000;100;76.0000000000000;0
3;2100;1;Åsbjørn Tengsareid;Volestart;261.231;T.B.'s Trøllgutt;1.25,3v;1.25,8a;  Klosterskogen Travbane ;2018-09-01;T.B.'s Trøllgutt;30082481;578001020120089;23;24.00;48.00;52.00;0;2018-07-28;110.4000000000000;55.2000000000000;119.6000000000000;2018-09-01 14:47:21.510;2018-07-28;35;0;46.0000000000000;0;46.0000000000000;0
3;2100;2;Eirik Høitomt;Volestart;307.233;Valle Storm;1.27,3v;1.25,6a;  Klosterskogen Travbane ;2018-09-01;Valle Storm;30088588;578001020130307;29;31.00;46.00;10.00;1;2018-08-13;133.4000000000000;89.9000000000000;29.0000000000000;2018-09-01 14:47:21.510;2018-08-13;19;10;194.3000000000000;100;304.3000000000000;0
3;2100;3;Erlend Rennesvik;Volestart;234.046;Eldhusodin;1.27,7v;1.27,2a;  Klosterskogen Travbane ;2018-09-01;Eldhusodin;30087330;578001020130023;38;17.00;40.00;50.00;Disk. galopp;2018-05-25;152.0000000000000;64.6000000000000;190.0000000000000;2018-09-01 14:47:21.510;2018-05-25;99;0;26.6000000000000;0;26.6000000000000;0
3;2100;4;Mari Løve;Volestart;305.500;Rolf Martin;1.25,6v;1.25,7a;  Klosterskogen Travbane ;2018-09-01;Rolf Martin;30066634;578001020100273;49;16.00;50.00;33.00;3;2018-08-13;245.0000000000000;78.4000000000000;161.7000000000000;2018-09-01 14:47:21.510;2018-08-13;19;10;161.7000000000000;100;271.7000000000000;0
3;2100;5;Jan Roar Mjølnerød;Volestart;248.666;Bossum Faksen;1.28,4v;1.24,9a;  Klosterskogen Travbane ;2018-09-01;Bossum Faksen;30072756;578001020100781;26;55.00;65.00;27.00;Disk. galopp;2018-06-30;169.0000000000000;143.0000000000000;70.2000000000000;2018-09-01 14:47:21.510;2018-06-30;63;0;241.8000000000000;0;241.8000000000000;0
3;2120;6;Tom Erik Solberg;Volestart;318.500;Godtepåsen;1.25,1v;1.25,3a;  Klosterskogen Travbane ;2018-09-01;Godtepåsen;30083832;578001020120499;51;21.00;44.00;37.00;1;2018-08-07;224.4000000000000;107.1000000000000;188.7000000000000;2018-09-01 14:47:21.510;2018-08-07;25;10;142.8000000000000;0;152.8000000000000;0
3;2120;7;Geir Vegard Gundersen;Volestart;349.000;Frøyu Petter;1.27,6v;1.23,6a;  Klosterskogen Travbane ;2018-09-01;Frøyu Petter;30079925;578001020110693;33;52.00;89.00;18.00;3;2018-08-11;293.7000000000000;171.6000000000000;59.4000000000000;2018-09-01 14:47:21.510;2018-08-11;21;10;405.9000000000000;0;415.9000000000000;0
3;2120;8;Odd Arne Sagholen;Volestart;412.819;Høvding Jaros;1.24,5v;1.24,4a;  Klosterskogen Travbane ;2018-09-01;Høvding Jaros;30083532;578001020120407;48;14.00;45.00;6.00;4;2018-07-26;216.0000000000000;67.2000000000000;28.8000000000000;2018-09-01 14:47:21.510;2018-07-26;37;0;254.4000000000000;0;254.4000000000000;0
3;2120;9;Gunnar Austevoll;Volestart;386.000;Areta Mollyn;1.26,2v;1.24,4a;  Klosterskogen Travbane ;2018-09-01;Areta Mollyn;30052716;578001020090254;97;3.00;31.00;13.00;8;2018-08-11;300.7000000000000;29.1000000000000;126.1000000000000;2018-09-01 14:47:21.510;2018-08-11;21;0;203.7000000000000;0;203.7000000000000;0
3;2120;10;Christina Kjenner;Volestart;385.285;Battimo;1.25,1v;1.26,2a;  Klosterskogen Travbane ;2018-09-01;Battimo;30088801;578001020130369;22;11.00;47.00;27.00;0;2018-08-19;103.4000000000000;24.2000000000000;59.4000000000000;2018-09-01 14:47:21.510;2018-08-19;13;0;68.2000000000000;100;168.2000000000000;0
3;2120;11;Adrian Solberg Akselsen;Volestart;330.500;Arnspik;1.26,2v;1.24,7a;  Klosterskogen Travbane ;2018-09-01;Arnspik;30059927;578001020090855;53;18.00;39.00;42.00;Disk. galopp;2018-08-22;206.7000000000000;95.4000000000000;222.6000000000000;2018-09-01 14:47:21.510;2018-08-22;10;0;79.5000000000000;100;179.5000000000000;0
3;2140;12;Vidar Hop;Volestart;625.601;Odins Eld;1.24,3v;1.23,4a;  Klosterskogen Travbane ;2018-09-01;Odins Eld;30077013;578001020110075;38;17.00;57.00;24.00;4;2018-08-19;216.6000000000000;64.6000000000000;91.2000000000000;2018-09-01 14:47:21.510;2018-08-19;13;0;190.0000000000000;100;290.0000000000000;0
3;2140;13;Dag-Sveinung Dalen;Volestart;564.750;Valle Fryd;1.25,2v;1.22,7a;  Klosterskogen Travbane ;2018-09-01;Valle Fryd;30039207;578001020080624;118;6.00;22.00;62.00;0;2018-07-21;259.6000000000000;70.8000000000000;731.6000000000000;2018-09-01 14:47:21.510;2018-07-21;42;0;-401.2000000000000;0;-401.2000000000000;0
3;2140;14;Henrik Kulblik;Volestart;581.804;Finnskog Oda;1.25,5v;1.23,5a;  Klosterskogen Travbane ;2018-09-01;Finnskog Oda;30066984;578001020100340;41;8.00;31.00;17.00;2;2018-08-16;127.1000000000000;32.8000000000000;69.7000000000000;2018-09-01 14:47:21.510;2018-08-16;16;10;90.2000000000000;100;200.2000000000000;0
3;2140;15;Eivind Gravdal;Volestart;536.000;Elegant;1.25,7v;1.23,4a;  Klosterskogen Travbane ;2018-09-01;Elegant;30020734;N-07-0307;89;19.00;43.00;31.00;0;2018-08-15;382.7000000000000;169.1000000000000;275.9000000000000;2018-09-01 14:47:21.510;2018-08-15;17;0;275.9000000000000;100;375.9000000000000;0
