Heste_navn;Rett_navn;rettidnr;Feilidnr
Actress Superb;Actress Superb;30103953;30023718
Adiago Trot;Adiago Trot;30121493;30043792
Admirals Club;Admirals Club;30110397;30104037
Agnor;Agnor;30067280;30079617
Aksel Pedro;Aksel Pedro;30104741;30079032
Alain Scott;Alain Scott ;30116686;30055553
Aldorassa;Aldorassa;30118230;30021862
Alice Road;Alice Road ;30105952;131461
Alsaker Dragon;Alsaker Dragon;30104455;27738
Alta Stjerna;Alta Stjerna;30105991;30097362
Amazing Grace U.S.;Amazing Grace U.S.;30106833;30076379
Amazing Surprise;Amazing Surprise;30098534;133821
Amazona River;Amazona River;30104140;30079727
Amber Brick;Amber Brick;30121466;30007421
Angel of Mine;Angel of Mine;30119689;30079226
Annabella Knick;Annabella Knick;30099928;30094292
Annie's Boy;Annie's Boy;30085374;30057322
Antti Sisu;Antti Sisu;30119211;30106562
Arc en Ciel;Arc en Ciel;30120960;30052695
Arja Oda;Arja Oda;30093699;30066237
Arkan;Arkan;30103264;30096333
Armani Flamingo;Armani Flamingo ;30119669;30068665
Arne Martin;Arne Martin;30103621;132578
Art Miklagard;Art Miklagard;30082696;30076665
Arverud'n;Arverud'n;30098319;30023290
Ask Loke;Ask Loke;30103944;30089232
Assault;Assault;30118232;30082601
Au Fil De l'Aure;Au Fil De l'Aure;30118853;30094296
B.W.Anna;B.W.Anna;30118295;30082219
B.W.Laika;B.W.Laika;30113774;30045863
B.W.Mimmi;B.W.Mimmi;30106982;30080751
B.W.Prinsen;B.W.Prinsen;30113911;30095537
B.W.Rune;B.W.Rune;30113912;30100679
B.W.Sessa;B.W.Sessa;30106980;30100679
Balder Odin;Balder Odin;30109752;30066297
Balder Perla;Balder Perla;30103695;125433
Balett;Balett;30088547;116384
Barka Loma;Barka Loma;30093824;112383
Bazinga;Bazinga;30105103;30068830
Beak's Lively;Beak's Lively;30104824;30039403
Bee Mine;Bee Mine ;30113983;30095976
Bella Donna Rapid;Bella Donna Rapid;30097359;30021061
Bellmondo Hornline;Bellmondo Hornline;30120634;30099930
Ben Dover;Ben Dover;30099175;30044926
Bergkrystall;Bergkrystall;30103148;30084551
Bertoni;Bertoni;30082665;30087787
Bikila;Bikila;30120968;30113403
Billy Flynn;Billy Flynn;30118383;30109887
Birk Faks;Birk Faks;30097217;30104121
Birk Jerker;Birk Jerker;30104123;30082178
Birk Lila;Birk Lila;30105212;30022878
Birk Lyana;Birk Lyana;30104962;30093941
Birk Perla;Birk Perla;30104122;30094039
Birk Rapp;Birk Rapp;30104964;127119
Birk Støvern;Birk Støvern;30104963;30085753
Birk Triplilla;Birk Triplilla;30104965;30104121
Birkir Ø.K.;Birkir Ø.K.;30104620;30092671
Bitcoin;Bitcoin;30120296;122475
Bjørnemyr Dennis;Bjørnemyr Dennis;30087987;30066248
Bjørnemyr Klara;Bjørnemyr Klara;30103854;30084951
Bjørnemyr Prinsen;Bjørnemyr Prinsen;30098892;30106594
Bjørnli Prinsen;Bjørnli Prinsen;30106594;30098892
Black Friday;Black Friday;30105104;30059921
Blazing Volo;Blazing Volo;30094067;30079827
Bles Faxa;Bles Faxa;30103160;30099003
Blue Wedding Star;Blue Wedding Star;30093467;30106744
Bol Torina;Bol Torina;30105592;30077601
Bolt Challenger;Bolt Challenger;30110664;30066019
Bombastica;Bombastica ;30121227;30119577
Bona Fide;Bona Fide;30093524;30073286
Bonete;Bonete;30118233;30044515
Bonjour d'Estino;Bonjour d'Estino;30112848;30009959
Boris;Boris;30116586;30016937
Bork Lill;Bork Lill;30104458;30103958
Bork Oda;Bork Oda;30087452;132083
Bork Viking;Bork Viking;30103655;132083
Breeze of Hills;Breeze of Hills ;30106654;30039086
Bro Viking;Bro Viking;30096280;30052737
Broadway;Broadway ;30107649;30035880
Broadway;Broadway ;30107649;30052179
Brunello Hall;Brunello Hall;30113034;30095388
Braaums Jinta;Braaums Jinta;30105277;117783
Bullshana T.T.;Bullshana T.T.;30106432;30097561
Burning Love E.P.;Burning Love E.P.;30105662;30048049
Børke Billie;Børke Billie;30099114;30077846
Børke Brage;Børke Brage;30106041;30077846
Børke Loke;Børke Loke;30106042;30023966
C Nu Gilbak;C Nu Gilbak ;30120636;30094364
C.R. Seven;C.R. Seven ;30118743;30067810
Cabriolet;Cabriolet;30121008;30076786
Cadillac Shadow;Cadillac Shadow;30120231;30083650
Call Me Fancy;Call Me Fancy;30119803;30065859
Call Me Fox;Call Me Fox;30103928;30092924
Call The King;Call The King ;30117787;30090159
Calle Caviar;Calle Caviar;30104125;30103984
Calvin Classic;Calvin Classic;30078806;30069164
Calypso Am;Calypso Am;30121485;30034936
Campeona Suyal;Campeona Suyal;30120086;30090218
Caramba Go V.J.;Caramba Go V.J.;30121498;30007888
Caramello P.P.;Caramello P.P.;30067037;30098046
Caribbean Blue Ås;Caribbean Blue Ås;30120308;30039376
Carmula One;Carmula One;30120958;30068681
Caroline K.;Caroline K.;30119963;129961
Cash On Time;Cash On Time;30105475;30089431
Cashless;Cashless;30102541;30022991
Casper the Viking;Casper the Viking;30109585;30117787
Catch A Volo;Catch A Volo;30103491;30070036
Cavaca;Cavaca ;30119187;30077915
Cecena Tomali;Cecena Tomali;30104899;127408
Cecilie Halbak;Cecilie Halbak;30095050;30097104
Celine Rush;Celine Rush;30122113;30006042
Charisma;Charisma;30120366;30008242
Charlie Skovsende;Charlie Skovsende ;30121651;118868
Charming Boom Bay;Charming Boom Bay ;30119349;30094778
Chianti Merci;Chianti Merci ;30118804;30116532
Chocostile;Chocostile;30106073;30053177
Chris K.;Chris K. ;30115020;125163
Cici Moseby;Cici Moseby ;30121308;30052782
Classic Sun;Classic Sun;30110119;30089139
Classy Revelation;Classy Revelation;30094362;30094073
Clumses Vivel;Clumses Vivel ;30121228;115191
Cocktail Atout;Cocktail Atout;30120302;30098270
Come Fly With Me;Come Fly With Me;30103689;30090649
Concerto De Lou;Concerto De Lou ;30115166;30051227
Cool Counter M.E.;Cool Counter M.E.;30078324;30093205
Copiko;Copiko;30121951;123681
Corona;Corona;30104627;30013785
Counterstrike;Counterstrike;30119621;127732
Cry Wolf;Cry Wolf;30099841;30085848
Cyria;Cyria;30105109;30044200
Daddys Cool;Daddys Cool;30104397;30056674
Dag Frøya;Dag Frøya;30096875;30050895
Dag Nora;Dag Nora;30103159;30070856
Dan Mølgård;Dan Mølgård ;30119447;129765
Dark Moni;Dark Moni ;30116954;30100616
Dayenne Lane;Dayenne Lane ;30118145;133320
Deepak Am;Deepak Am;30112709;114701
Delago;Delago;30105571;30051639
Delicious Babe;Delicious Babe ;30119030;128042
Delicious Me;Delicious Me;30104325;30095144
Derby Simoni;Derby Simoni;30121474;30044876
Diego Division;Diego Division;30107364;30094972
Diesolo de la Lune;Diesolo de la Lune ;30120794;30028880
Don Juan D.K.;Don Juan D.K. ;30120522;30022193
Donato Dream;Donato Dream;30097265;30083873
Dooley's U.N.G.;Dooley's U.N.G.;30121468;30108442
Drakar;Drakar;30112488;30088938
Dream Briljant;Dream Briljant;30099503;30066888
Dream Creation;Dream Creation;30103592;30036686
Dream Gardenia;Dream Gardenia ;30119254;126483
Dream On Plush;Dream On Plush;30084903;30087576
Dream U.N.G.;Dream U.N.G.;30121271;30108442
Drogba Division;Drogba Division;30104284;30088703
Droseld;Droseld;30036977;128999
Drömsaga;Drömsaga;30120957;30079355
East Of Eden's Tap Out;East Of Eden's Tap Out;30105156;30076710
Easy Winner;Easy Winner;30105570;131016
Eclair Sisu;Eclair Sisu;30119489;30088215
Econic;Econic;30118987;30036222
Egge Mo'n;Egge Mo'n;30090974;30043798
Eld Best;Eld Best;30078826;126191
Eldens Drømmefanger;Eldens Drømmefanger;30102052;30080654
Eliax;Eliax;30120368;30084263
Elles Mirakel;Elles Mirakel;30103927;30092352
Ellys Jet;Ellys Jet;30104641;30089887
Elsa;Elsa;30107142;30090683
Elsås Lykke;Elsås Lykke;30103326;30084069
Emma Buitenzorg;Emma Buitenzorg ;30100003;133114
Emotion U.M.;Emotion U.M. ;30107499;30090433
Enjoyable;Enjoyable;30092457;30005232
Episod;Episod;30120306;30039317
Epsilon Sisu;Epsilon Sisu;30118453;30083618
Erga Viking;Erga Viking;30104322;30034617
Etne Spretten;Etne Spretten;30095690;30088182
Euklid A.T.;Euklid A.T. ;30118324;30009986
Europa;Europa;30092448;30094294
Eva Maria;Eva Maria;30103570;30023825
Evander;Evander;30104679;30066014
Evelina C.;Evelina C.;30121125;30087162
Everybody's Free;Everybody's Free;30121129;30021919
Evita Jaam;Evita Jaam;30119070;30117011
Evita Skovsende;Evita Skovsende ;30113615;30045708
Explosive Lane;Explosive Lane ;30097237;30113819
Explosive Merlot;Explosive Merlot;30120305;30089976
Explosive Rain;Explosive Rain;30113819;30078776
Fabian Chanell;Fabian Chanell;30104716;30066734
Fakstrolla;Fakstrolla;30113714;30093145
Fancy;Fancy;30093880;30080911
Fancy Junior;Fancy Junior;30080911;30065977
Fanny Tabac;Fanny Tabac;30120288;30047487
Fanny va Bene;Fanny va Bene;30097325;30022845
Fantine Volcano;Fantine Volcano;30104494;30022344
Fast Track;Fast Track ;30117684;30061750
