idnr;uthestenavn
30001400;Luigi Vampa     
30001440;Blis OL 6134 
30001441;Gismo     
30001442;Veslebiri     
30001460;Mindy Simb 
30001461;Moshannon Inmotion 
30001462;Simb Mowgli 
30001463;Chips Lure 
30001464;Most Expensive 
30001465;Aktril     
30001466;Orseth Storm     
30001467;Tirilgutten     
30001468;Melodie Nikita     
30001469;Brandi     
30001470;Udøpt     
30001471;Skomedals Bella     
30001472;Tunstadbrunen     
30001473;Bjønnås Vilja     
30001474;Vinvar     
30001480;BLACKIE     
30001481;Sørgards Jo     
30001482;Penelope     
30001483;Nygards Lonur     
30001484;MOLLY     
30001485;BROOKVIEW FLAME     
30001486;Chip Extreme     
30001487;Heljars Tari Pauline     
30001488;Kiselappa     
30001489;Darling Extreme     
30001490;Didi Extreme     
30001500;MAGNIFIQUE     
30001502;Stella     
30001503;Engholts Raus     
30001520;HRAFNTINNA     
30001521;Tash 
30001540;SNØHETTA TROLL     
30001560;RONJA     
30001580;Ainett 
30001581;Vega 
30001582;SVARTEN     
30001583;Beta 
30001584;Vegaflickan 
30001585;Kalle Forin 
30001600;nevada     
30001620;Christell     
30001640;Lancelot     
30001641;Hunter     
30001642;Camelia Brazz     
30001660;AAFKE     
30001680;ROGANSTOWN BRACKEN     
30001681;CONCLUSIVE PASS     
30001700;sandore     
30001701;Monet N.F.     
30001702;Lucky Look 
30001703;Strong Forte     
30001704;Invisible Hornline 
30001705;Nougat Dana 
30001706;Habette 
30001707;Foynett 
30001708;Scotchnett 
30001709;The Red Sports Car 
30001720;Oki Star 
30001721;Oki Gallant 
30001722;Big Wig Sign 
30001723;Mercedes Sund 
30001724;Bjørn Sign 
30001740;Love Me Tender E.P. 
30001741;Romance Hornline 
30001743;Chanson 
30001744;Giboulee Era 
30001747;Seeking The Gold 
30001750;SAMINA     
30001751;Keep on Steaming 
30001752;CAPRILLIS FIRST LADY     
30001753;RAY     
30001754;Aurora Sign 
30001755;Bella Miracle 
30001756;Smok'n Miracle 
30001757;Faustino     
30001760;Joyful Lavec 
30001761;Finger Bowl 
30001762;Firebird Hanover 
30001763;Phoebe Class 
30001764;Renee Newton 
30001765;Boleyn 
30001780;Max     
30001800;LE MASTRON     
30001801;CIMBER     
30001820;Vikse Frigg     
30001821;LIMELIGHT     
30001823;First Habi 
30001824;Shade Of Pale 
30001826;Vicky Derro 
30001827;Hamster Dore 
30001828;Røverkjøpet     
30001829;Seattle Song 
30001830;Chatelsong 
30001841;R.R. Impact 
30001842;H.P. Speranza 
30001843;Maireade 
30001844;Woodwork 
30001845;Bench Coach 
30001846;Nowerland Sweet T. 
30001860;Claudia Drew 
30001861;Greve Hamilton 
30001880;GRY HEIBERG     
30001900;Meadowbranch Girl 
30001901;Dewberry 
30001902;Tyrone Abee 
30001903;Mon Petite 
30001904;Inez Mercedes 
30001905;King Kruzer Girl 
30001907;Spotlite Speed     
30001908;Heads or Tails 
30001910;Thons Tyra     
30001911;Twigs Joker 
30001912;Thons Loke     
30001913;Gullfaksi     
30001914;Rikko     
30001915;Flora June 
30001916;Cherie's Playboy     
30001917;King N'Swing 
30001918;Flatlis Bork     
30001920;A PRIMA VISTA     
30001940;Monster Of Speed 
30001941;Maria Møy 
30001943;Desert Rally 
30001944;Koh Lantha 
30001945;Amourina 
30001946;Mon Dia 
30001947;Amira 
30001948;Timjan 
30001952;Dressong 
30001953;Sky Princess 
30001956;Deighton Bomber     
30001957;Ladbrook Aristocrat     
30001958;Landcliffe Mayflower     
30001961;Opening Night 
30001962;Sweet Spot 
30001965;Landcliffe Aristocrat     
30001966;Phoenix Fantasy 
30001967;Osmose 
30001968;Joy Laser 
30001972;Cut Bellagio 
30001991;Cut Academy 
30001992;Cut Royale 
30001993;ROLE MODEL     
30001994;LANZELOT     
30002000;Theresa Gayle 
30002001;Jessica Shea 
30002002;Dynavena S.T. 
30002003;Donowan Broline 
30002004;Ain't That Love 
30002005;In My Dreams 
30002006;Jeunesse Doree 
30002007;Ramoa Nobell 
30002008;Com Moa 
30002009;Com Ramona 
30002011;Born To Win 
30002012;Mona Stella 
30002016;Fabulous 
30002017;Female Voice 
30002024;Abernant 
30002027;Mary Biz 
30002030;Sweet Collins 
30002031;Halffun 
30002035;Donatello II 
30002038;APU     
30002039;Hattan     
30002040;KARISIMO     
30002043;Titan     
30002048;Bittan     
30002049;Otto     
30002052;Sagrada 
30002053;Sardara 
30002054;Realm 
30002055;Hevea 
30002056;MAI WINTER     
30002060;Orkan     
30002061;Indian Drive     
30002062;Neo     
30002080;Midnight The King     
30002100;Silja     
30002101;Cumeragh House Croft     
30002102;Parkgate Duchess     
30002103;Hillmoor Mascot     
30002104;Parkgate Ellie May     
30002105;Engas Hermine     
30002106;Netron     
30002107;Rosita     
30002108;Dandy W.     
30002109;Happy Shirley     
30002110;Neron     
30002111;Rebecca     
30002112;JOHAN LUND     
30002113;METTE JOHNSON     
30002114;Mariska     
30002115;Refund     
30002116;Silly Sioux     
30002117;Celix     
30002118;Florencja     
30002119;Snoky N.Gek.     
30002120;Cindy     
30002121;Måne     
30002122;Taffy's Snowdown     
30002123;Taffys Dependable Duke     
30002124;WHAT A EXPENSIVE     
30002125;Damito     
