Heste_navn;Navn;Id_nr;inntjent;Dato
Neslands Lynet;Neslands Loke;125647;0;2019-05-12
Fanny va Bene;Vanity Va Bene;30022845;35.000;2019-05-12
Lord Ratzeputz;Mr. Ratzeputz;30036059;63.299;2019-05-12
Grand Commander;Master And Commander;30054443;0;2019-05-12
Balder Odin;Fodnes Balder;30066297;0;2019-05-12
Odd Harmonia;Odd Hera;30084314;0;2019-05-12
Lady Lara;Ty Lara;30088751;255.500;2019-05-12
Milan;Mila;30092555;0;2019-05-12
Brunello Hall;Mellby Brunello;30095388;0;2019-05-12
Rappoda;Rappodina*;30098447;0;2019-05-12
Nicky Me;Rock Me;30103134;106.500;2019-05-12
Peder Mykla;Peder Mykla*;30072057;847.868;2019-05-11
Lucky Kentucky;Global Kentucky ;30049764;226.500;2019-05-11
Madelen L.T.C.;Repetition L.T.;130582;1.263.187;2019-05-11
Valle Grim;Bakkeli Grim;133108;170.500;2019-05-10
High Hopes;High Chanel;30004900;0;2019-05-10
Arja Oda;Arja Lina;30066237;0;2019-05-10
Lygna Sjur;Stjerne Sjur;30068205;0;2019-05-10
Talomen Ø.K.;Tønder Ø.K.;30097250;18.500;2019-05-10
Emma Buitenzorg;Emma Buitenzorg (NL);30100003;186.420;2019-05-10
Havik di Quattro;Havik di Quattro (S);30104749;12.000;2019-05-10
Nashville Yankee;Nashville Yankee* (S);30110564;93.322;2019-05-10
Xita Lavec;Xita Lavec (S);30112684;185.760;2019-05-10
Hands Up;Hands Up (NL);30113276;165.894;2019-05-10
Tigerdrottningen;Tigerdrottningen (S);30113629;59.836;2019-05-10
Concerto De Lou;Concerto De Lou (FR);30115166;134.998;2019-05-10
Diesolo de la Lune;Diesolo de la Lune (FR);30120794;12.000;2019-05-10
Bless You;Bless You (DK);30115457;67.987;2019-05-09
Bastian Lendalund;Bastian Lendalund (DK);30116263;257.276;2019-05-09
Tedo O.K.;Tedo O.K. (IT);30111969;170.829;2019-05-09
O.M. Erinus;O.M. Erinus (S);30106080;71.500;2019-05-09
Ultimo Tango;Ultimo Tango (S);30107809;413.922;2019-05-09
Digital Star;Digital Star (S);30099124;312.949;2019-05-09
Corsa d'Amour;Corsa d'Amour (DE);30100321;149.827;2019-05-09
Jasmin Sund;Jasmin Sund (S);30100382;86.500;2019-05-09
Digital Bronze;Digital Bronze (S);30100412;269.939;2019-05-09
From Zero To Hero;Hero Touch;30077018;120.500;2019-05-09
Dirtballer;Dirtballer (US);30085478;115.000;2019-05-09
Wagtail Happyharry;Wagtail Happyharry (S);30078549;81.000;2019-05-09
O.M. Corpentino;O.M. Corpentino (S);30095556;165.516;2019-05-09
Escaped;Escaped (NL);30095230;190.546;2019-05-09
Pompano Reza;Pompano Reza (S);30095233;236.690;2019-05-09
Bertoni;Bertil;30087787;193.500;2019-05-09
Trespasser;Trespasser (S);30089018;409.500;2019-05-09
Yarrah;Yarrah Jet;30093270;0;2019-05-08
Anthony Downs;Anthony Downs (DK);30093455;344.000;2019-05-08
Aksel Pedro;Princess Pedro;30079032;0;2019-05-08
Revenator;King Senator;30082511;0;2019-05-08
Nordby Fyr;Nordby Frøya;30082849;0;2019-05-08
Olav;Åsaolava;30082991;0;2019-05-08
Bona Fide;Bona Mi* (S);30073286;0;2019-05-08
Bjørnemyr Dennis;Bjørnemyr Vinna;30066248;125.193;2019-05-08
Bolt Challenger;Bolt;30066019;0;2019-05-08
Celine Rush;Celine Tuna (S);30006042;123.603;2019-05-08
Enjoyable;Enjoyable Shadow* (S);30005232;182.000;2019-05-08
Hjertlig;Hjertusota;133115;0;2019-05-08
J.T.'s Kiwi;J.T.'s Vacation;30009322;12.000;2019-05-08
Bonjour d'Estino;Victor d'Estino;30009959;0;2019-05-08
Burning Love E.P.;Burning Love* (S);30048049;0;2019-05-08
Cici Moseby;Moseby Lady;30052782;78.460;2019-05-08
M.T.Kingofthehill;M.T.Kingofthehill* (S);30104036;678.824;2019-05-08
Isabel B.R.;Isadora B.R.;30104180;12.000;2019-05-08
Heinz B.R.;Ira B.R.;30104183;51.236;2019-05-08
Encore un Sisu;Encore un Sisu (S);30098552;213.000;2019-05-08
Odins Kaizer;Vestpol Kaizer;30097030;0;2019-05-08
Viva Las Vegas E.P.;Viva la Vida* (S);30097831;0;2019-05-08
N.Y. Rosslyn;N.Y. Rose Line;30097754;0;2019-05-08
Faust Boko;Faust Boko (S);30106575;479.716;2019-05-08
Exciting Chip;Exciting Chip (S);30107263;236.000;2019-05-08
Global Tess;Global Tess* (S);30111350;267.306;2019-05-08
Ruthless;Ruthless* (S);30108071;119.479;2019-05-08
Syoss;Syoss (DE);30109206;454.950;2019-05-08
Eerin Am;Eerin Am (S);30111763;120.887;2019-05-08
Conrads Carl;Conrads Carl (S);30113395;60.094;2019-05-08
Believe La Marc;Believe La Marc (DK);30114786;123.242;2019-05-08
Park View;Park View (S);30116969;323.634;2019-05-08
Euklid A.T.;Euklid A.T. (RS);30118324;226.094;2019-05-08
Guccio Fortuna;Guccio Fortuna (DE);30115997;228.219;2019-05-08
Abrakadabra;Abrakadabra* (S);30116001;62.007;2019-05-08
Global U.Neverknow;Global U.Neverknow (S);30115325;202.013;2019-05-08
Uni Lest;Uni Lest (IT);30114831;320.205;2019-05-08
Iasi;Iasi (DE);30119258;218.820;2019-05-08
Chio Gilbak;Chio Gilbak (DK);30120637;151.779;2019-05-07
Bivo Torkdahl;Bivo Torkdahl (DK);30114879;347.494;2019-05-07
David K.;David K. (S);30112066;54.622;2019-05-07
Royal Unibrew;Royal Unibrew* (S);30112318;4.894;2019-05-07
Primero Greentown;Greenbank* (S);30107028;27.000;2019-05-07
Spang Turbo;Spang Tussi;30104843;0;2019-05-07
Miss Point;Miss Point*;30097424;58.174;2019-05-07
Sajama;Sajama (S);30099818;59.000;2019-05-07
Wayne Brogård;Wayne Brogård (DK);30104252;598.373;2019-05-07
Sitje Victor;Sitje Eld;30104326;0;2019-05-07
Faxen Af Sola;Dronning Af Sola;30103816;0;2019-05-07
Egon Lobell;Egon Lobell (NL);30101301;149.174;2019-05-07
Tverdals Odin;Tverdals Audin;30053953;0;2019-05-07
Mjølner Faksine;Mjølner Faksa;30046899;0;2019-05-07
Wessel Odina;Wessel Odin;30016885;0;2019-05-07
Hassel Frøkna;Vassbø Frøkna;30008879;0;2019-05-07
Hold Me Quick;Kiss Me Quick;131229;161.715;2019-05-07
Nattbris;Nattfrost* (S);128156;0;2019-05-07
Odas Eld;Aas Eld;127360;3.500;2019-05-07
Piglet Pil;Pål Pil;116597;83.200;2019-05-07
Matadore;Matador Ås* (S);30065958;16.583;2019-05-07
Silke Diamant;Silke Chasmina;30068657;0;2019-05-07
Bee Mine;Be Mine* (S);30095976;0;2019-05-07
Fighting Joe;Fighting Joe* (S);30096182;481.448;2019-05-07
C Nu Gilbak;Nu Love S.S.;30094364;118.851;2019-05-06
Wanna be a Star;Wanna be a Star* (S);30095244;124.306;2019-05-06
Runaway Train;Runaway Train* (S);30092332;187.907;2019-05-06
Classic Sun;Capri Sun;30089139;0;2019-05-06
Langlands Høvding;Langlands Odin;30088612;0;2019-05-06
Jærvsøælva;Jærvsøælva (S);30066739;171.233;2019-05-06
Fit For Fortissimo;Shocking For Nothing;30072276;0;2019-05-06
Alone Man S.T.;Alone Man S.T. (S);30081578;387.947;2019-05-06
The Best Knight;The Dark Knight;30084068;75.500;2019-05-06
Polar Rocky;Hot Rocky;126501;299.991;2019-05-06
Liv Synnøve;Lykkje Liv;132304;0;2019-05-06
C.C. Boy;C.C. Boy*;30053260;382.750;2019-05-06
R.M.G. Red Red Wine;R.M.G. Lady In Red;30103438;0;2019-05-06
Admirals Club;Mellby Club* (S);30104037;0;2019-05-06
