 Bjerke-Travbane;Torsdag, 25. aug 2022
 Bjerke-Travbane; Onsdag, 24. aug 2022
 Bjerke-Travbane;Tirsdag, 16. aug 2022
 Bjerke-Travbane;Tirsdag, 9. aug 2022
 Bjerke-Travbane;Tirsdag, 2. aug 2022
 Bjerke-Travbane; Onsdag, 13. jul 2022
 Bjerke-Travbane;Tirsdag, 12. jul 2022
 Bjerke-Travbane;Torsdag, 7. jul 2022
 Bjerke-Travbane;Tirsdag, 5. jul 2022
 Bjerke-Travbane; Tirsdag, 28. jun 2022
 Bjerke-Travbane;Mandag, 27. jun 2022
 Bjerke-Travbane;Tirsdag, 21. jun 2022
 Bjerke-Travbane;Søndag, 12. jun 2022
 Bjerke-Travbane; Lørdag, 11. jun 2022
 Bjerke-Travbane;Tirsdag, 7. jun 2022
 Bjerke-Travbane;Onsdag, 1. jun 2022
 Bjerke-Travbane;Tirsdag, 24. mai 2022
 Bjerke-Travbane; Mandag, 16. mai 2022
 Bjerke-Travbane;Søndag, 15. mai 2022
 Bjerke-Travbane;Tirsdag, 10. mai 2022
 Bjerke-Travbane;Tirsdag, 3. mai 2022
 Bjerke-Travbane; Tirsdag, 26. apr 2022
 Bjerke-Travbane;Mandag, 25. apr 2022
 Bjerke-Travbane;Tirsdag, 19. apr 2022
 Bjerke-Travbane;Tirsdag, 12. apr 2022
 Bjerke-Travbane; Onsdag, 6. apr 2022
 Bjerke-Travbane;Lørdag, 2. apr 2022
 Bjerke-Travbane;Tirsdag, 29. mar 2022
 Bjerke-Travbane;Onsdag, 23. mar 2022
 Bjerke-Travbane; Tirsdag, 22. mar 2022
 Bjerke-Travbane;Tirsdag, 15. mar 2022
 Bjerke-Travbane;Mandag, 14. mar 2022
 Bjerke-Travbane;Onsdag, 9. mar 2022
 Bjerke-Travbane; Lørdag, 5. mar 2022
 Bjerke-Travbane;Onsdag, 2. mar 2022
 Bjerke-Travbane;Tirsdag, 1. mar 2022
 Bjerke-Travbane;Tirsdag, 22. feb 2022
 Bjerke-Travbane; Lørdag, 19. feb 2022
 Bjerke-Travbane;Onsdag, 16. feb 2022
 Bjerke-Travbane;Tirsdag, 8. feb 2022
 Bjerke-Travbane;Søndag, 6. feb 2022
 Bjerke-Travbane; Tirsdag, 1. feb 2022
 Bjerke-Travbane;Onsdag, 26. jan 2022
 Bjerke-Travbane;Tirsdag, 25. jan 2022
 Bjerke-Travbane;Onsdag, 19. jan 2022
 Bjerke-Travbane; Tirsdag, 18. jan 2022
 Bjerke-Travbane;Lørdag, 15. jan 2022
 Bjerke-Travbane;Tirsdag, 11. jan 2022
 Bjerke-Travbane;Søndag, 9. jan 2022
 Bjerke-Travbane; Tirsdag, 4. jan 2022
 Bjerke-Travbane;Lørdag, 1. jan 2022
 Bjerke-Travbane;Torsdag, 30. des 2021
 Bjerke-Travbane;Søndag, 26. des 2021
 Bjerke-Travbane; Tirsdag, 21. des 2021
 Bjerke-Travbane;Lørdag, 18. des 2021
 Bjerke-Travbane;Tirsdag, 14. des 2021
 Bjerke-Travbane;Tirsdag, 7. des 2021
 Bjerke-Travbane; Tirsdag, 30. nov 2021
 Bjerke-Travbane;Onsdag, 24. nov 2021
 Bjerke-Travbane;Tirsdag, 23. nov 2021
 Bjerke-Travbane;Tirsdag, 16. nov 2021
 Bjerke-Travbane; Lørdag, 13. nov 2021
 Bjerke-Travbane;Tirsdag, 9. nov 2021
 Bjerke-Travbane;Tirsdag, 2. nov 2021
 Bjerke-Travbane;Tirsdag, 26. okt 2021
 Bjerke-Travbane; Tirsdag, 19. okt 2021
 Bjerke-Travbane;Onsdag, 13. okt 2021
 Bjerke-Travbane;Tirsdag, 12. okt 2021
 Bjerke-Travbane;Tirsdag, 5. okt 2021
 Bjerke-Travbane; Lørdag, 2. okt 2021
 Bjerke-Travbane;Tirsdag, 28. sept 2021
 Bjerke-Travbane;Tirsdag, 21. sept 2021
