KusknavnBanenavnDatoLøpDist.TTidPlas.RGOddsPremieProg.nr
Asbjørn MehlaBergen Travpark07.07.2007 10   2 600 18,7 00  517    0,- 04
Vidar HopDrammen Travbane18.06.2007 09   2 500 brg- G69    0,- 03
Odd StoretvedtBergen Travpark31.05.2007 03   2 100 17,1a  00  386    0,- 11
Svein Ove WassbergBergen Travpark19.05.2007 06   2 100 18,6 05  440   8 000,- 11
Vidar HopBergen Travpark23.11.2006 09   2 100 18,1a  01  38   12 000,- 09
Vidar HopDrammen Travbane13.11.2006 06   1 700 17,6a  02  41   8 000,- 02
Vidar HopSørlandets Travpark21.10.2006 03   1 609 16,3a  06  98   1 500,- 03
Vidar HopBjerke Travbane30.09.2006 10   2 640 18,4 00  152    0,- 04
Svein Ove WassbergBergen Travpark07.09.2006 06   2 100 18,1 06  29   1 500,- 05
Vidar HopBjerke Travbane22.08.2006 10   2 600 19,0a  03 G88   9 000,- 05
Vidar HopBergen Travpark10.08.2006 03   1 600 15,0a  02  24   6 000,- 04
Vidar HopBiri Travbane30.07.2006 10   2 120 17,0 01  32   50 000,- 01
Svein Ove WassbergBergen Travpark29.06.2006 04   2 100 18,1 01  31   12 000,- 07
Olav MikkelborgKlosterskogen Travbane03.06.2006 07   2 100 17,6a  05 G216   5 000,- 05
Olav MikkelborgBjerke Travbane18.05.2006 06   1 609 17,5a  06  83   1 500,- 05
Olav MikkelborgDrammen Travbane08.05.2006 05   2 100 16,9a  02  46   10 000,- 01
Olav MikkelborgBjerke Travbane20.04.2006 02   1 609 16,4a  03  22   3 500,- 02
Olav MikkelborgBjerke Travbane11.04.2006 03   1 609 16,0a  02  25   5 000,- 04
Olav MikkelborgBjerke Travbane18.03.2006 02   2 100 STR-  0    0,- 02
Olav MikkelborgBjerke Travbane08.03.2006 03   2 100 17,7a  03  43   8 000,- 09
Olav MikkelborgMomarken Travbane28.02.2006 05   2 000 20,2a  05 G21   1 500,- 04
Olav MikkelborgBjerke Travbane21.09.2005 08   2 100 dg-  0203    0,- 08
Olav MikkelborgBjerke Travbane03.09.2005 08   2 100 STR-       0,- 01
Olav MikkelborgJarlsberg Travbane20.08.2005 07   2 100 16,7a  07  0138    0,- 11
Olav MikkelborgBjerke Travbane10.08.2005 03   2 100 18,0a  06  0036   1 500,- 06
Olav MikkelborgMomarken Travbane12.07.2005 03   2 000 17,7a  02  0020   5 000,- 07
Olav MikkelborgBjerke Travbane22.06.2005 08   2 140 18,5 01  0014   14 000,- 01
Olav MikkelborgBjerke Travbane08.06.2005P   2 160 17,4-  P    0,- 07
Olav MikkelborgBjerke Travbane06.10.2004P   2 140 27,0- G B   4 000,- 02
Olav MikkelborgBjerke Travbane25.08.2004P   2 140 31,3- G B   4 000,- 02
